5170,10,0.7710251450676983,16.0077768301
11725,5,0.5539786780383795,17.0912337962
9481,6,0.6137116337939036,20.4234695631
7879,7,0.6451326310445488,19.3286641747
2055,20,0.9075425790754258,7.05351206434
14667,4,0.49802959023658555,20.1920981299
1104,30,0.9429347826086957,5.03573487032
19282,3,0.3744528575873872,19.8828010304
451,40,1.0,4.07716186253
28508,2,0.2978953276273327,21.7671800669
48983,1,0.19556989159504318,20.5732598438
5863,9,0.7413610779464438,16.786407767
6770,8,0.7119350073855244,17.2224988589


